,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,website,office,geometry,osm_type
16,"{""fax"":""+39 030 9030956""}",0.0,2,6869557294,10.279073,1570813027,45.40248,Ghedi,10,25016,Via Fabio Filzi,,C.I.S.L. - Sede di Ghedi,,+39 030 9030956,,ngo,POINT (10.279072761535645 45.40248107910156),node
17,,0.0,1,6879298505,10.528381,1571075796,45.471752,Desenzano del Garda,8,25015,Via Padre Giulio Bevilacqua,,C.I.S.L. - Sede di Desenzano del Garda,,+39 030 9914615,,ngo,POINT (10.52838134765625 45.47175216674805),node
18,,0.0,1,6893922711,10.107944,1571347715,45.804634,Pisogne,3b,25055,Via Donatori di Sangue,,C.I.S.L. - Sede di Pisogne,,,,ngo,POINT (10.107943534851074 45.80463409423828),node
19,,0.0,3,6896759625,9.998228,1604672701,45.56785,Rovato,3,25038,Via Palazzo,,C.I.S.L. - Sede di Rovato,,+39 030 7704669,,ngo,POINT (9.998228073120117 45.567848205566406),node
20,"{""level"":""1""}",0.0,2,6903879668,9.925229,1571691750,45.538292,Chiari,11,25032,Via Consorzio Agrario,,C.I.S.L. - Sede di Chiari,,+39 030 713108,,ngo,POINT (9.9252290725708 45.538291931152344),node
21,,0.0,4,6905385832,10.497462,1606041123,45.645805,Vobarno,27,25079,Piazza della Pace,,C.I.S.L. - Sede di Vobarno,,+39 0365 599877,,ngo,POINT (10.497462272644043 45.64580535888672),node
22,,0.0,1,6910439205,10.609894,1571860183,45.64156,Toscolano Maderno,22,25088,Via Trento,,F.N.P. C.I.S.L. - Sede di Toscolano Maderno,,+39 0365 548108,,ngo,POINT (10.609893798828125 45.64155960083008),node
23,"{""level"":""-1""}",0.0,2,7036149488,10.329158,1575556801,46.178486,Edolo,50,25048,Viale Derna,,C.I.S.L. - Sede di Edolo,,+39 0364 73015,,ngo,POINT (10.329157829284668 46.17848587036133),node
24,"{""level"":""1""}",0.0,2,7036201643,10.30301,1591777672,45.95752,Breno,1a,25043,Piazza Alpini,,C.I.S.L. - Sede di Breno,,+39 0364 4320917,,ngo,POINT (10.303009986877441 45.95751953125),node
25,,0.0,2,7227277553,10.395829,1582207033,45.411537,Montichiari,44,25018,Via Paolo Sesto,,C.I.S.L. - Sede di Montichiari,,,,ngo,POINT (10.395829200744629 45.411537170410156),node
26,,0.0,3,7230375554,10.404868,1625083593,45.710445,Vestone,8,25078,Via Mario Bettinzoli,,F.N.P. C.I.S.L. - Sede di Vestone,,+39 0365 820792,,ngo,POINT (10.404868125915527 45.710445404052734),node
27,,0.0,2,7239442243,10.088251,1625083736,45.269848,Pontevico,8,25026,Via Gorno Ruffoni,,C.I.S.L. - Sede di Pontevico Ezio Tarantelli,,+39 030 9306700,,ngo,POINT (10.088251113891602 45.26984786987305),node
28,,0.0,2,7239442244,10.138446,1582574287,45.35528,Manerbio,11,25025,Piazza Cesare Battisti,,C.I.S.L. - Sede di Manerbio,,,,ngo,POINT (10.138445854187012 45.355281829833984),node
29,,0.0,1,7245515276,10.438018,1582734856,45.588394,Gavardo,71,25085,Via Andrea Gosa,,C.I.S.L. - Sede di Gavardo,,,,ngo,POINT (10.438017845153809 45.58839416503906),node
30,,0.0,1,7248399381,10.5195055,1582832589,45.60633,Salò,13,25087,Via Trieste,,C.I.S.L. - Sede di Salò,,,,ngo,POINT (10.519505500793457 45.60633087158203),node
31,,0.0,3,7264182587,9.882931,1610638744,45.598656,Palazzolo sull'Oglio,13,25036,Via della Maddalena,,C.I.S.L. - Sede di Palazzolo sull'Oglio Giacomo Scaratti,,,,ngo,POINT (9.882930755615234 45.598655700683594),node
32,,0.0,3,7291342108,9.920947,1597051118,45.40362,Orzinuovi,47,25034,Via Giuseppe Zanardelli,,C.I.S.L. - Sede di Orzinuovi Luigi Alberti,,,,ngo,POINT (9.920947074890137 45.403621673583984),node
33,,0.0,1,8658451585,10.153607,1619170327,45.59162,Gussago,4,25064,Via Paolo Richiedei,,F.N.P. C.I.S.L. - Sede di Gussago,,+39 030 2523768,,ngo,POINT (10.153607368469238 45.59162139892578),node
34,,0.0,1,8658555913,10.075273,1619170101,45.417088,Dello,3,25020,Piazza della Pace,,F.N.P. C.I.S.L. - Sede di Dello,,,,ngo,POINT (10.075272560119629 45.41708755493164),node
35,,0.0,1,8684674786,10.077583,1619794425,45.522083,Travagliato,18,25039,Via Ventisei Aprile,,F.N.P. C.I.S.L. - Sede di Travagliato,,+39 030 6862405,,ngo,POINT (10.077583312988281 45.5220832824707),node
36,"{""building"":""yes"",""official_name"":""Azienda lombarda per l'edilizia residenziale"",""short_name"":""ALER""}",,6,118563654,,1543235398,,,,,,,A.L.E.R.,,,,ngo,"POLYGON ((10.235804 45.5632215, 10.2357606 45.5631453, 10.2356124 45.5631866, 10.2356191 45.5631983, 10.2358748 45.5636477, 10.236023 45.5636063, 10.2359928 45.5635509, 10.2359688 45.5635111, 10.2361284 45.5634666, 10.2363442 45.5634064, 10.2363701 45.5634526, 10.2364483 45.5635899, 10.236505 45.5636891, 10.2366546 45.5636474, 10.2366254 45.563596, 10.2366049 45.5635551, 10.2365989 45.5635446, 10.236591 45.5635307, 10.2365273 45.5634214, 10.2365201 45.5634088, 10.2365146 45.5633991, 10.2362838 45.5629957, 10.2361342 45.5630375, 10.2361793 45.5631168, 10.2359705 45.5631751, 10.235804 45.5632215))",way
37,"{""building"":""yes""}",,2,131607901,,1523799343,,,,,,,Caritas Parrocchiale Monticelli Brusati,,,,ngo,"POLYGON ((10.1005045 45.6297223, 10.1006772 45.6296629, 10.1006169 45.6295771, 10.1004442 45.6296364, 10.1005045 45.6297223))",way
38,"{""building"":""commercial"",""official_name"":""Confederazione Italiana Sindacati Lavoratori - Sede di Brescia"",""ref:vatin"":""IT80046540177"",""start_date"":""2003-12-07""}",,22,160169706,,1583252767,,Brescia,3,25128,Via Altipiano d'Asiago,ust.brescia@cisl.it,C.I.S.L. - Sede di Brescia,"Mo-Fr 8:30-12:30,14:00-18:00;We 8:30-18:00;Sa 8:30-11:30",+39 030 3844511,https://www.cislbrescia.it/,ngo,"POLYGON ((10.2206276 45.5562086, 10.2204635 45.5563772, 10.2207039 45.556492, 10.2210823 45.5561033, 10.2214118 45.5557648, 10.2213167 45.5557194, 10.2212627 45.5557749, 10.2211789 45.5558609, 10.2211475 45.5558932, 10.2211323 45.5558859, 10.2210926 45.5558669, 10.2210022 45.5558238, 10.2209924 45.5558339, 10.2206276 45.5562086))",way
39,"{""building"":""yes""}",,2,660615277,,1551301592,,,,,,,CGIL,,,,ngo,"POLYGON ((10.2089077 45.5342353, 10.2088144 45.5343465, 10.20917 45.5344929, 10.2091531 45.534513, 10.2093313 45.5345865, 10.2093506 45.5345635, 10.2097214 45.5347163, 10.2098124 45.534608, 10.2089077 45.5342353))",way
