,tags,changeset,lon,version,id,timestamp,lat,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,building,drinking_water,fountain,gambling,internet_access,office,source,start_date,wikipedia,geometry,osm_type,addr:housename,addr:place,building:levels,landuse
23,,0.0,12.546778,3,300610316,1497080640,41.90664,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.546777725219727 41.906639099121094),node,,,,
24,"{""cinema:3D"":""yes"",""screen"":""4"",""toilets"":""yes""}",0.0,12.499442,3,301336161,1548025905,41.91129,Roma,IT,107,00198,Corso d'Italia,,Europa,,Mycityplex,,,http://www.mycityplex.it/savoy/,cinema,,,,,,,,,,POINT (12.499442100524902 41.91128921508789),node,,,,
25,,0.0,12.524808,2,309562130,1275131777,41.88663,,,,,,,INIT,,,,,,nightclub,,,,,,,,,,POINT (12.524807929992676 41.88663101196289),node,,,,
26,"{""note"":""now multiplex cinema, ex-theatre"",""wikidata"":""Q3981895""}",0.0,12.469705,4,309569303,1539784564,41.906017,,,,,,,Adriano,,,,,,cinema,,,,,,,,,,POINT (12.469704627990723 41.9060173034668),node,,,,
27,,0.0,12.525548,5,330885344,1630668916,41.890514,Roma,IT,68,00176,Via L'Aquila,,Nuovo Cinema Aquila,,,,,,cinema,,,,,,,,,,POINT (12.525547981262207 41.8905143737793),node,,,,
28,"{""disused"":""yes""}",0.0,12.518478,5,356696450,1546329248,41.89838,Roma,IT,36,00185,Via dei Reti,,Teatro allo Scalo,,,,,,theatre,,,,,,,,,,POINT (12.518478393554688 41.898380279541016),node,,,,
29,"{""wheelchair"":""yes""}",0.0,12.28691,4,388097156,1400498159,41.746258,Roma,,515,00121,Viale dei Romagnoli,,Cineland,,,+39 06 561841,,http://cineland.it/,cinema,,,,,,,,,,POINT (12.286910057067871 41.74625778198242),node,,,,
30,,0.0,12.524294,1,393179330,1241963087,41.886868,,,,,,,open air,,,,,,cinema,,,,,,,,,,POINT (12.524293899536133 41.88686752319336),node,,,,
31,,0.0,12.450575,5,422034617,1415406526,41.909534,,,,,,,Doria,,,,,,cinema,,,,,,,,,,POINT (12.45057487487793 41.9095344543457),node,,,,
32,,0.0,12.62815,3,442495480,1589993984,41.448322,,,,,,,Astoria,,,,,,cinema,,,,,,,,,,POINT (12.62814998626709 41.44832229614258),node,,,,
33,,0.0,12.627035,3,442495672,1247744828,41.44672,,,,,,,Moderno,,,,,,cinema,,,,,,,,,,POINT (12.627035140991211 41.446720123291016),node,,,,
34,,0.0,12.480207,2,497353715,1531153190,41.88446,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.480207443237305 41.88446044921875),node,,,,
35,,0.0,12.794906,6,504167429,1276415670,41.962605,,,,,,,Fontana della Civetta,,,,,,fountain,,,,,,,,,,POINT (12.794905662536621 41.96260452270508),node,,,,
36,"{""wheelchair"":""no""}",0.0,12.416634,2,610928412,1327579495,41.92144,,,,,,,Galaxi,,,,,,cinema,,,,,,,,,,POINT (12.416633605957031 41.92144012451172),node,,,,
37,"{""wheelchair"":""yes""}",0.0,12.418081,4,610928685,1327579596,41.91301,,,,,,,Andromeda,,,,,,cinema,,,,,,,,,,POINT (12.418081283569336 41.91300964355469),node,,,,
38,,0.0,12.45609,2,612601679,1274132413,41.908733,,,,,,,Giulio Cesare,,,,,,cinema,,,,,,,,,,POINT (12.456089973449707 41.90873336791992),node,,,,
39,"{""wikidata"":""Q37000295""}",0.0,12.489147,6,612605225,1520321890,41.903572,,,,,,,Barberini,,,,,www.multisalabarberini.it,cinema,,,,,,,"Bing, Local knowledge",,,POINT (12.489147186279297 41.90357208251953),node,,,,
40,"{""wheelchair"":""yes""}",0.0,12.488211,6,614409043,1553366041,41.926105,Roma,,20,00197,Via Giosuè Borsi,,Teatro Parioli,,,,,https://pariolitheatreclub.it/,theatre,,,,,,,,,,POINT (12.488210678100586 41.92610549926758),node,,,,
41,"{""wikidata"":""Q76950528""}",0.0,12.48576,6,662527388,1586069316,41.900677,,,,,,,Fontana dell'Organo,,,,,,fountain,,,,,,,,,,POINT (12.485759735107422 41.90067672729492),node,,,,
42,,0.0,12.786301,2,663704142,1268754423,41.70701,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.786300659179688 41.707008361816406),node,,,,
43,,0.0,12.789363,3,665482026,1422145212,41.689545,Velletri,IT,3,00049,Via Filippo Turati,,Augustus Multiplex,,,+39 069637250,,www.multiplexaugustus.it,cinema,,,,,,,,,,POINT (12.789362907409668 41.689544677734375),node,,,,
44,,0.0,12.789373,3,665482029,1376385453,41.68926,,,,,,,Teatro Ugo Tognazzi,,,,,,theatre,,,,,,,,,,POINT (12.789373397827148 41.68925857543945),node,,,,
45,,0.0,12.792073,6,665912202,1625753572,41.72149,,,,,,,Fontana del Turano,,,,,,fountain,,,,,,,,,,POINT (12.792073249816895 41.72148895263672),node,,,,
46,,0.0,12.776204,4,675883179,1359075940,41.684753,,,,,,,,,,,,,fountain,,,,,,,Knowledge,,,POINT (12.776204109191895 41.68475341796875),node,,,,
47,,0.0,12.56002,6,729538477,1517044900,41.90685,Roma,,5,00159,Via Igino Giordani,,Gruppo Scout FSE Roma 21,,Associazione Italiana Guide e Scouts d'Europa Cattolici,,,,community_centre,,,,,,,,,,POINT (12.560020446777344 41.9068489074707),node,,,,
48,"{""wikidata"":""Q76951056""}",0.0,12.418909,4,736603499,1586069316,41.94055,,,,00135,Santa Maria della pietà ,,Fontana,,,,,,fountain,,,,,,,,,,POINT (12.418909072875977 41.9405517578125),node,,,,
49,,0.0,12.450481,3,767261931,1629048241,41.91487,,,,,,,Life'85,,,,,,nightclub,,,,,,,,,,POINT (12.450481414794922 41.91487121582031),node,,,,
50,"{""historic"":""monument""}",0.0,12.898462,4,807079879,1335514577,42.066227,,,,,,,Nifeo degli Orsini,,,,,,fountain,,,,,,,,,,POINT (12.898462295532227 42.066226959228516),node,,,,
51,"{""lit"":""no""}",0.0,12.909462,2,828306228,1578409452,41.76919,,,,,,,,,,,,,fountain,,no,,,,,,,,POINT (12.909461975097656 41.76919174194336),node,,,,
52,,0.0,12.428223,5,896912744,1455633114,41.975285,Roma,,1036,00189,Via Cassia,,Gruppo Scout FSE Roma 20,,Associazione Italiana Guide e Scouts d'Europa Cattolici,,,,community_centre,,,,,,,,,,POINT (12.42822265625 41.975284576416016),node,,,,
53,,0.0,12.574469,5,899270724,1511854552,41.849533,Roma,IT,,,Via Tuscolana,,Cinecittà,,,,,,cinema,,,,,,,,,,POINT (12.574468612670898 41.84953308105469),node,,,,
54,,0.0,12.444399,2,916498660,1598528959,41.96562,,,20,,Via Vibo Mariano,,Cinestar Cassia,,,,,,cinema,,,,,,,,,,POINT (12.444398880004883 41.96561813354492),node,,,,
55,,0.0,12.445454,3,916548809,1598445146,41.96438,Roma,,692,00189,Via Cassia,info@teatrociakroma.it,Teatro Ciak Roma,Mo-Sa 21:00-00:00; Su 17:30-00:00,,+390633249268,,https://www.teatrociakroma.it/,theatre,,,,,,,,,,POINT (12.445453643798828 41.964378356933594),node,,,,
56,,0.0,12.51101,3,922740384,1547300014,41.887363,Roma,IT,69,,Viale Carlo Felice,,Sans Papiers,,,,,,community_centre,,,,,,,,,,POINT (12.51101016998291 41.88736343383789),node,,,,
57,,0.0,12.689829,2,1000774083,1290533009,41.711132,,,,,,,Cinema Multisala Cynthianum,,,,,,cinema,,,,,,,,,,POINT (12.689828872680664 41.71113204956055),node,,,,
58,"{""cinema:3D"":""yes"",""toilets"":""yes""}",0.0,12.500848,4,1023823864,1548025905,41.910065,Roma,IT,107,00198,Corso d'Italia,,Cinema Europa,Mo-Su 15:30-24:00,Mycityplex,,,http://http://www.mycityplex.it/europa/,cinema,,,,,,,,,,POINT (12.500847816467285 41.910064697265625),node,,,,
59,"{""mobile"":""+39 3278959298""}",0.0,12.464828,2,1046022651,1618494326,41.91769,Roma,,14,00195,Via Monte Zebio,cooperteatro85@libero.it,Teatro Manzoni,,,+39 063223634,,https://www.teatromanzoni.info/,theatre,,,,,,,,,,POINT (12.464827537536621 41.91769027709961),node,,,,
60,,0.0,12.098482,1,1102360128,1294944688,41.99816,,,,,,,,,,,,,fountain,,,,,,,,1881,,POINT (12.098482131958008 41.99816131591797),node,,,,
61,"{""wheelchair"":""yes"",""wikidata"":""Q37000377""}",0.0,12.492633,4,1118787065,1520321891,41.90538,Roma,IT,47,,Via Leonida Bissolati,,Fiamma,,,,,,cinema,,,,,,,,,,POINT (12.492632865905762 41.90538024902344),node,,,,
62,"{""culture"":""theatre"",""disused"":""yes""}",0.0,12.46847,4,1142943804,1543785948,41.89855,Roma,IT,17a,,Via dei Filippini,,Teatro dell'Orologio,,,,,,theatre,,,,,,,,,,POINT (12.468469619750977 41.8985481262207),node,,,,
63,"{""wikidata"":""Q76953328""}",0.0,12.470209,3,1149331858,1586069317,41.893875,,,,,,,Fontana del Mascherone,,,,,,fountain,,,,,,,,1626,,POINT (12.470209121704102 41.89387512207031),node,,,,
64,,0.0,12.799032,3,1151376145,1509959091,42.005978,,,,,,,Le Fontanelle,,,,,,fountain,,,,,,,,,,POINT (12.799032211303711 42.005977630615234),node,,,,
65,,0.0,12.765773,3,1152651488,1333221950,42.001434,,,,,,,Fonte Mammoria,,,,,,fountain,,,,,,,,,,POINT (12.765772819519043 42.001434326171875),node,,,,
66,,0.0,12.772296,2,1152765034,1333234714,41.989494,,,,,,,Fontanile la Botte,,,,,,fountain,,,,,,,,,,POINT (12.772295951843262 41.98949432373047),node,,,,
67,,0.0,12.854748,2,1154224760,1332611326,42.00511,,,,,,,Fonte del Fallo,,,,,,fountain,,,,,,,,,,POINT (12.854747772216797 42.00511169433594),node,,,,
68,"{""ele"":""577.5""}",0.0,12.92233,3,1154609479,1610628396,42.066082,,,,,,,Fonte Colle Prioni,,,,,,fountain,,,,,,,,,,POINT (12.922329902648926 42.06608200073242),node,,,,
69,,0.0,12.834003,2,1156241776,1332615782,42.01303,,,,,,,F. Vecchia,,,,,,fountain,,,,,,,,,,POINT (12.834003448486328 42.013031005859375),node,,,,
70,,0.0,12.876578,3,1156241798,1333586731,42.029102,,,,,,,F. delle Pianelle,,,,,,fountain,,,,,,,,,,POINT (12.876578330993652 42.02910232543945),node,,,,
71,"{""ele"":""815""}",0.0,12.862923,3,1156241948,1610889153,42.04666,,,,,,,F. della Rocca,,,,,,fountain,,,,,,,,,,POINT (12.862922668457031 42.046661376953125),node,,,,
72,,0.0,12.878327,4,1156242075,1610920577,42.084526,,,,,,,F. Pepollecchie,,,,,,fountain,,,,,,,,,,POINT (12.878327369689941 42.08452606201172),node,,,,
73,,0.0,12.818772,4,1156242100,1610132337,42.016037,,,,,,,Fonte della Madonnella,,,,,,fountain,,,,,,,,,,POINT (12.818772315979004 42.01603698730469),node,,,,
74,"{""ele"":""1010""}",0.0,12.861777,7,1156242159,1611595457,42.079823,,,,,,,Fonte Cerunorti,,,,,,fountain,,,,,,,,,,POINT (12.861777305603027 42.0798225402832),node,,,,
75,,0.0,12.871404,4,1156242175,1610652356,42.07978,,,,,,,F. Santo Chirico,,,,,,fountain,,,,,,,,,,POINT (12.871403694152832 42.07978057861328),node,,,,
76,,0.0,12.84557,2,1156242198,1331043851,42.017338,,,,,,,F. del Castagneto,,,,,,fountain,,,,,,,,,,POINT (12.845569610595703 42.017337799072266),node,,,,
77,,0.0,12.860713,3,1156242213,1430472915,42.06066,,,,,,,Fonte Liana,,,,,,fountain,,,,,,,,,,POINT (12.860713005065918 42.06066131591797),node,,,,
78,,0.0,12.828628,5,1156242382,1509964992,42.01098,,,,,,,Fonte La Villa,,,,,,fountain,,,,,,,,,,POINT (12.828627586364746 42.01097869873047),node,,,,
79,,0.0,12.850235,4,1156257431,1610496550,42.114006,,,,,,,F. Nocella,,,,,,fountain,,,,,,,,,,POINT (12.850234985351562 42.11400604248047),node,,,,
80,,0.0,12.894743,2,1157468373,1325256194,42.085125,,,,,,,F. La Posta,,,,,,fountain,,,,,,,,,,POINT (12.894742965698242 42.08512496948242),node,,,,
81,"{""toilets:wheelchair"":""yes"",""wheelchair"":""yes""}",0.0,12.468822,4,1160046238,1570193404,41.90862,,,74,,Piazza Cola di Rienzo,,Eden,,,,,,cinema,,,,,,,,,,POINT (12.46882152557373 41.90861892700195),node,,,,
82,,0.0,12.912948,3,1166645230,1335309515,42.0923,,,,,,,F. dei Cavalli,,,,,,fountain,,,,,,,,,,POINT (12.912947654724121 42.09230041503906),node,,,,
83,,0.0,12.7705145,2,1178872346,1333664647,42.05741,,,,,,,F. di Cento Ducati,,,,,,fountain,,,,,,,,,,POINT (12.770514488220215 42.057411193847656),node,,,,
84,,0.0,12.872206,4,1180709724,1610821042,42.063274,,,,,,,Fonte Cornazzani,,,,,,fountain,,,,,,,,,,POINT (12.87220573425293 42.06327438354492),node,,,,
85,,0.0,12.844952,3,1180709778,1335730021,42.07718,,,,,,,F. Malatesta,,,,,,fountain,,,,,,,,,,POINT (12.844951629638672 42.077178955078125),node,,,,
86,,0.0,12.460607,2,1201568109,1441929861,41.88247,,,,,,,Vascello,,,,,,theatre,,,,,,,,,,POINT (12.460606575012207 41.882469177246094),node,,,,
87,,0.0,12.812339,2,1207136593,1398625379,41.980614,,,,,,,Fontana Vecchia,,,,,,fountain,,,,,,,,,,POINT (12.812338829040527 41.980613708496094),node,,,,
88,"{""studio"":""audio""}",0.0,12.518833,3,1212706398,1555273744,41.887234,Roma,IT,10,00182,Via Caltagirone,info@ritmix.it,RitMix,,,+39 06 70300090,,www.ritmix.it,studio,,,,,,,,,,POINT (12.51883316040039 41.88723373413086),node,,,,
89,"{""studio"":""audio""}",0.0,12.478854,4,1212710048,1607115652,41.89559,,,,,,,Radio Città Futura,,,+39 06 6992 5100,,http://www.radiocittafutura.it,studio,,,,,,,,,,POINT (12.478854179382324 41.895591735839844),node,,,,
90,"{""studio"":""audio""}",0.0,12.456883,2,1212713206,1552474021,41.915157,,,,,,,RDS,,,,,,studio,,,,,,,,,,POINT (12.456883430480957 41.915157318115234),node,,,,
91,"{""brand"":""The Space Cinema"",""brand:wikidata"":""Q3989406"",""brand:wikipedia"":""it:The Space Cinema"",""wikidata"":""Q37000649""}",0.0,12.496425,5,1222037500,1643736827,41.902073,,,,,,,The Space-Moderno,,,,,,cinema,,,,,,,,,,POINT (12.496424674987793 41.90207290649414),node,,,,
92,,0.0,12.414741,1,1237044910,1302253647,41.914,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.414740562438965 41.91400146484375),node,,,,
93,,0.0,12.4524555,1,1241792877,1302604693,41.922802,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.452455520629883 41.92280197143555),node,,,,
94,"{""wikidata"":""Q37000496""}",0.0,12.478973,2,1257246656,1520321892,41.90287,,,,,,,Nuovo Olimpia,,,,,,cinema,,,,,,,,,,POINT (12.478973388671875 41.902870178222656),node,,,,
95,"{""alt_name"":""Fontana del Mos\u00E8"",""flickr"":""https://www.flickr.com/photos/122687277@N03/36976848335"",""fountain:type"":""backed"",""name:de"":""Mosesbrunnen"",""name:en"":""Fountain of Moses"",""name:es"":""Fuente del Agua Feliz"",""name:fr"":""Fontana dell'Acqua Felice"",""name:it"":""Fontana dell'Acqua Felice"",""name:ru"":""\u0424\u043E\u043D\u0442\u0430\u043D \u041C\u043E\u0438\u0441\u0435\u044F"",""name:zh"":""\u6469\u897F\u55B7\u6CC9\u6216\u5FEB\u4E50\u6C34\u9053\u6865\u55B7\u6CC9"",""note"":""if drinkable, insert tag drinkable=yes"",""survey:date"":""2017-08-23"",""wikidata"":""Q983774""}",0.0,12.494452,13,1277743956,1537019098,41.904392,,,,,,,Fontana dell'Acqua Felice,,,,,,fountain,,,,,,,,,it:Fontana dell'Acqua Felice,POINT (12.494452476501465 41.90439224243164),node,,,,
96,,0.0,12.800389,5,1281359582,1612225976,42.00656,,,,,,,Lebrò,,,,,,fountain,,,,,,,,,,POINT (12.800389289855957 42.006561279296875),node,,,,
97,,0.0,12.815738,2,1281359587,1329911017,42.019924,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.8157377243042 42.01992416381836),node,,,,
98,,0.0,12.813267,3,1281359656,1610132337,42.02048,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.81326675415039 42.02048110961914),node,,,,
99,,0.0,12.836449,2,1282619703,1333564183,42.00422,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.836448669433594 42.00421905517578),node,,,,
100,,0.0,12.506458,2,1283216891,1305488646,41.923336,,,,,,,Admiral,,,,,,cinema,,,,,,,,,,POINT (12.506458282470703 41.923336029052734),node,,,,
101,,0.0,12.917629,1,1293318439,1305906355,41.777092,,,,,,,Fontana del Colle,,,,,,fountain,,,,,,,,,,POINT (12.91762924194336 41.77709197998047),node,,,,
102,"{""name:de"":""Bienen-Brunnen"",""name:en"":""Fountain of the Bees"",""name:ja"":""\u8702\u306E\u5674\u6C34"",""name:ru"":""\u0424\u043E\u043D\u0442\u0430\u043D \u041F\u0447\u0451\u043B"",""name:sv"":""Bifont\u00E4nen"",""name:zh"":""\u8702\u871C\u5674\u6CC9"",""wikidata"":""Q857540""}",0.0,12.488768,12,1326896537,1556705400,41.904297,,,,,,,Fontana delle api,,,,,,fountain,,,,,,,,,it:Fontana delle Api,POINT (12.488767623901367 41.904296875),node,,,,
103,"{""wikidata"":""Q37000279""}",0.0,12.45824,3,1334091777,1520321890,41.90849,Roma,IT,82,00192,Via degli Scipioni,,Azzurro Scipioni,,,+39 06 39737161,,www.azzurroscipioni.com,cinema,,,,,,,,,,POINT (12.458239555358887 41.90848922729492),node,,,,
104,,0.0,12.52384,4,1355684029,1364290848,41.870487,,IT,72,,Via Carlo Denina,info@spazidellanima.it,Spazio dell'anima,,,+39 06 7842819,,http://www.bottegafilosofica.it,community_centre,,,,,,,,,,POINT (12.523839950561523 41.870487213134766),node,,,,
105,"{""wikidata"":""Q3747402""}",0.0,12.502388,5,1387910036,1541942343,41.91872,,,,,,,Fontana delle Rane,,,,,,fountain,,,,,,,,,it:Fontana delle Rane (Roma),POINT (12.502388000488281 41.91872024536133),node,,,,
106,,0.0,13.085767,1,1407004995,1313930310,41.60557,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (13.085766792297363 41.60557174682617),node,,,,
107,,0.0,13.08619,1,1479529055,1319493525,41.60482,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (13.086190223693848 41.604820251464844),node,,,,
108,"{""description"":""cinema con 8 sale"",""note"":""posizione approssimativa""}",0.0,12.660559,4,1507335546,1556815146,41.91462,,,,,,,UCI,,,,,,cinema,,,,,,,survey,,,POINT (12.660558700561523 41.91461944580078),node,,,,
109,"{""name:it"":""Fontana""}",0.0,12.65816,2,1507432385,1525074473,41.93087,,,,,,,for animals,,,,,,fountain,,,,,,,,,,POINT (12.658160209655762 41.930870056152344),node,,,,
110,,0.0,12.456649,2,1524746360,1412271821,41.91148,,,,,,,Teatro dell'Angelo,,,,,,theatre,,,,,,,,,,POINT (12.456648826599121 41.91147994995117),node,,,,
111,,0.0,12.472075,2,1528875622,1359404144,41.887268,,,,,,,Alcazar,,,,,,cinema,,,,,,,,,,POINT (12.472075462341309 41.88726806640625),node,,,,
112,"{""name:en"":""Vatican Radio"",""studio"":""audio""}",0.0,12.464001,3,1530087435,1530406935,41.90305,,,,,,,Radio Vaticana,,Radio Vaticana,,,,studio,,,,,,,,,,POINT (12.464000701904297 41.90304946899414),node,,,,
113,"{""description"":""Film indipendenti nella piccola sala cinematografica di un'associazione culturale con spazio espositivo e bar."",""name:zh"":""Detour\u7535\u5F71\u9662""}",0.0,12.493928,8,1542593183,1579426269,41.89617,Roma,IT,107,00184,Via Urbana,cinedetour@tiscali.it,Cineclub Detour,,,+39 064871579,,https://www.cinedetour.it/,cinema,,,,,,,,,,POINT (12.493927955627441 41.89617156982422),node,,,,
114,,0.0,12.469978,2,1565344046,1361030973,41.887085,,,,,,,Teatro Argot Studio,,,,,http://www.teatroargotstudio.com,theatre,,,,,,,"Bing, Local knowledge",,,POINT (12.469978332519531 41.8870849609375),node,,,,
115,,0.0,12.88208,1,1569162064,1325250603,42.066734,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.882080078125 42.066734313964844),node,,,,
116,,0.0,12.883231,3,1569282529,1610920577,42.077847,,,,,,,F. degli Schifi,,,,,,fountain,,,,,,,,,,POINT (12.883231163024902 42.07784652709961),node,,,,
117,,0.0,12.438868,1,1569392953,1325261752,41.897884,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.438867568969727 41.897884368896484),node,,,,
118,,0.0,12.900493,3,1586814840,1622281732,42.048878,,,,,,,,,,,,,fountain,,,,,,,,,,POINT (12.900492668151855 42.04887771606445),node,,,,
119,,0.0,12.8993635,2,1586815532,1404460724,42.05024,,,,,,,Fonte Bandusia,,,,,,fountain,,,,,,,,,,POINT (12.89936351776123 42.05023956298828),node,,,,
120,"{""culture"":""arts_centre""}",0.0,12.531477,2,1600983246,1492707609,41.88378,Roma,IT,3,,Via del Mandrione,info@30formiche.it,30 Formiche,,Associazione Culturale ARCI,,,http://www.30formiche.it,nightclub,,,,,,,,,,POINT (12.531476974487305 41.88378143310547),node,,,,
